suite,case,elapsed_sec,joins_sr,joins_nr,broadcast_join_sr,broadcast_join_nr,partitioned_join_sr,partitioned_join_nr,runtime_filter_build_sr,runtime_filter_build_nr,runtime_filter_probe_sr,runtime_filter_probe_nr,scan_sr,scan_nr,agg_sr,agg_nr,shuffle_exchange_sr,shuffle_exchange_nr,broadcast_exchange_sr,broadcast_exchange_nr,gather_exchange_sr,gather_exchange_nr,max_est_rows_sr,max_est_rows_nr,plan_gap_tags
tpc-ds,q74,4.21,7,7,3,7,3,0,7,7,10,4,6,6,8,4,13,2,3,0,2,8,2592364,2626419,broadcast_more(+4);partitioned_less(-3);shuffle_less(-11);rf_probe_less(-6);agg_count_less(-4)
ssb,q3.1,4.12,3,3,3,3,0,0,3,3,1,3,4,4,4,2,1,1,3,0,2,4,5401054,4374854,agg_count_less(-2)
tpc-ds,q73,4.10,4,4,4,4,0,0,4,4,2,4,5,5,4,2,1,1,4,0,2,5,2513323,2507765,agg_count_less(-2)
tpc-ds,q32,4.07,4,4,2,3,0,1,4,3,4,3,5,5,8,4,3,2,2,0,1,4,1297393,1434368,broadcast_more(+1);shuffle_less(-1);rf_probe_less(-1);rf_build_less(-1);agg_count_less(-4)
tpc-ds,q95,3.92,7,7,3,3,3,4,7,6,6,3,7,7,8,4,9,9,3,0,3,4,647446,5198549,rf_probe_less(-3);rf_build_less(-1);agg_count_less(-4)
tpc-h,q1,3.88,0,0,0,0,0,0,0,0,0,0,2,1,4,2,1,1,0,0,2,1,1,5941203,agg_count_less(-2)
tpc-h,q10,3.88,3,3,2,1,1,2,3,1,2,1,4,4,4,2,3,5,2,0,2,2,3008795,1350273,rf_probe_less(-1);rf_build_less(-2);agg_count_less(-2)
tpc-ds,q99,3.85,4,4,4,4,0,0,4,4,1,4,5,5,4,2,1,1,4,0,2,5,1297393,1413219,agg_count_less(-2)
ssb,q3.4,3.83,3,3,3,3,0,0,3,3,1,3,4,4,4,2,1,1,3,0,2,4,5401054,4374854,agg_count_less(-2)
tpc-ds,q6,3.71,6,6,6,6,0,0,6,5,6,4,7,7,10,5,3,2,6,0,3,8,2592364,2363777,shuffle_less(-1);rf_probe_less(-2);rf_build_less(-1);agg_count_less(-5)
tpc-ds,q36,3.70,3,3,3,3,0,0,3,3,1,3,4,4,4,2,2,1,3,0,2,4,7539969,2363535,shuffle_less(-1);agg_count_less(-2)
tpc-ds,q40,3.65,4,4,4,4,0,0,3,3,3,0,5,5,4,2,1,1,4,0,2,5,1297393,1284532,rf_probe_less(-3);agg_count_less(-2)
tpc-ds,q15,3.55,3,3,1,3,2,0,3,3,2,2,4,4,4,2,5,1,1,0,2,4,1297393,1427374,broadcast_more(+2);partitioned_less(-2);shuffle_less(-4);agg_count_less(-2)
tpc-ds,q81,3.28,5,5,2,3,3,1,5,3,5,1,5,5,8,4,10,4,2,0,2,5,129660,120823694,broadcast_more(+1);partitioned_less(-2);shuffle_less(-6);rf_probe_less(-4);rf_build_less(-2);agg_count_less(-4)
tpc-h,q7,3.17,5,5,4,4,1,1,5,5,8,2,6,6,4,2,3,3,4,0,2,5,1350000,1992241,rf_probe_less(-6);agg_count_less(-2)
tpc-ds,q39.s1,3.13,4,4,3,4,1,0,4,5,2,3,4,4,4,1,5,0,3,0,2,6,10570500,8562105,broadcast_more(+1);partitioned_less(-1);shuffle_less(-5);agg_count_less(-3)
tpc-ds,q39.s2,3.13,4,4,3,4,1,0,4,5,2,3,4,4,4,1,5,0,3,0,2,6,10570500,8562105,broadcast_more(+1);partitioned_less(-1);shuffle_less(-5);agg_count_less(-3)
tpc-h,q5,3.11,5,5,5,5,0,0,5,6,8,4,6,6,4,2,1,1,5,0,2,6,5401094,4860984,rf_probe_less(-4);agg_count_less(-2)
ssb,q1.3,3.08,1,1,1,1,0,0,1,1,1,1,2,2,4,2,0,0,1,0,1,2,39390,944791,agg_count_less(-2)
ssb,q2.3,2.97,3,3,3,3,0,0,3,3,1,3,4,4,4,2,1,1,3,0,2,4,5401054,4374854,agg_count_less(-2)
tpc-ds,q43,2.92,2,2,2,2,0,0,2,2,1,2,3,3,4,2,1,1,2,0,2,3,2513323,2626150,agg_count_less(-2)
tpc-h,q3,2.92,2,2,1,1,1,1,2,2,2,1,3,3,2,2,2,3,1,0,2,2,1639941,2911243,rf_probe_less(-1)
tpc-ds,q59,2.87,7,6,6,6,1,0,7,6,8,5,8,6,8,2,4,1,6,0,2,7,2513323,2750311,partitioned_less(-1);shuffle_less(-3);rf_probe_less(-3);rf_build_less(-1);agg_count_less(-6)
tpc-ds,q3,2.85,2,2,2,2,0,0,2,2,1,2,3,3,4,2,1,1,2,0,2,3,2513323,2475280,agg_count_less(-2)
ssb,q2.2,2.83,3,3,3,3,0,0,3,3,1,3,4,4,4,2,1,1,3,0,2,4,5401054,4374854,agg_count_less(-2)
tpc-ds,q96,2.81,3,3,3,3,0,0,3,3,1,3,4,4,4,2,0,0,3,0,3,4,2592364,2508180,agg_count_less(-2)
tpc-ds,q42,2.75,2,2,2,2,0,0,2,2,1,2,3,3,4,2,1,1,2,0,2,3,2513323,2475280,agg_count_less(-2)
ssb,q1.2,2.67,1,1,1,1,0,0,1,1,1,1,2,2,4,2,0,0,1,0,1,2,39965,964474,agg_count_less(-2)
tpc-ds,q94,2.67,5,5,4,4,1,1,4,4,2,3,6,6,8,4,3,3,4,0,3,5,647446,718843,agg_count_less(-4)
tpc-ds,q2,2.49,4,4,3,3,1,1,4,3,8,1,5,5,4,2,5,3,3,0,2,4,1944839,2160932,shuffle_less(-2);rf_probe_less(-7);rf_build_less(-1);agg_count_less(-2)
ssb,q1.1,2.41,1,1,1,1,0,0,1,1,1,1,2,2,4,2,0,0,1,0,1,2,123500,1047584,agg_count_less(-2)
tpc-ds,q52,2.39,2,2,2,2,0,0,2,2,1,2,3,3,4,2,1,1,2,0,2,3,2513323,2475280,agg_count_less(-2)
tpc-ds,q55,2.36,2,2,2,2,0,0,2,2,1,2,3,3,4,2,1,1,2,0,2,3,2513323,2475280,agg_count_less(-2)
tpc-ds,q90,2.36,7,7,6,6,0,0,6,6,2,6,8,8,8,4,0,0,7,0,4,8,647446,718844,agg_count_less(-4)
tpc-ds,q45,2.21,6,7,4,4,1,1,4,3,3,3,6,8,10,2,6,2,5,0,3,8,647446,647125,shuffle_less(-4);rf_build_less(-1);agg_count_less(-8)
tpc-ds,q82,2.19,3,3,1,3,1,0,3,3,4,3,4,4,2,2,4,1,1,0,2,4,2936250,4294381,broadcast_more(+2);partitioned_less(-1);shuffle_less(-3);rf_probe_less(-1)
tpc-h,q11,2.13,5,5,4,4,0,0,4,4,4,2,6,6,8,4,1,1,5,0,3,6,720000,720000,rf_probe_less(-2);agg_count_less(-4)
tpc-h,q4,2.10,1,1,0,0,1,1,1,0,1,0,2,2,4,2,3,3,0,0,2,1,3000608,2700547,rf_probe_less(-1);rf_build_less(-1);agg_count_less(-2)
tpc-ds,q92,2.04,4,4,2,3,0,1,4,3,4,3,5,5,8,4,3,2,2,0,3,4,647446,719195,broadcast_more(+1);shuffle_less(-1);rf_probe_less(-1);rf_build_less(-1);agg_count_less(-4)
tpc-ds,q37,1.86,3,3,1,3,1,0,3,3,4,3,4,4,2,2,4,1,1,0,2,4,2936250,4294381,broadcast_more(+2);partitioned_less(-1);shuffle_less(-3);rf_probe_less(-1)
tpc-h,q12,1.80,1,1,1,1,0,0,1,1,1,1,2,2,4,2,1,1,1,0,2,2,1350000,1350000,agg_count_less(-2)
tpc-ds,q83,1.78,14,14,6,14,6,0,14,14,16,11,15,15,12,6,15,3,6,0,2,15,258763,249752,broadcast_more(+8);partitioned_less(-6);shuffle_less(-12);rf_probe_less(-5);agg_count_less(-6)
tpc-ds,q62,1.65,4,4,4,4,0,0,4,4,1,4,5,5,4,2,1,1,4,0,2,5,647446,718668,agg_count_less(-2)
tpc-h,q20,1.60,4,4,1,3,2,1,4,3,6,3,5,5,4,2,6,2,1,0,2,4,720000,1484889,broadcast_more(+2);partitioned_less(-1);shuffle_less(-4);rf_probe_less(-3);rf_build_less(-1);agg_count_less(-2)
tpc-h,q13,1.49,1,1,0,0,1,1,1,1,1,0,2,2,6,4,3,4,0,0,2,1,1125000,1500000,rf_probe_less(-1);agg_count_less(-2)
tpc-ds,q22,1.40,2,2,2,2,0,0,2,2,1,2,3,3,4,2,1,1,2,0,2,3,52852500,42532172,agg_count_less(-2)
tpc-h,q2,1.40,4,4,4,4,0,0,4,4,3,4,5,5,0,0,1,1,4,0,2,5,648000,648000,
tpc-ds,q21,1.21,3,3,3,3,0,0,3,3,1,3,4,4,4,2,1,1,3,0,2,4,10570500,8562105,agg_count_less(-2)
tpc-ds,q30,1.17,5,5,4,4,1,0,6,4,5,2,5,5,8,4,6,2,4,0,2,6,81000,27299683,partitioned_less(-1);shuffle_less(-4);rf_probe_less(-3);rf_build_less(-2);agg_count_less(-4)
tpc-ds,q86,1.10,2,2,2,2,0,0,2,2,1,2,3,3,4,2,2,1,2,0,2,3,1942337,1736281,shuffle_less(-1);agg_count_less(-2)
tpc-h,q16,0.96,2,2,1,2,1,0,1,1,1,1,3,3,4,1,3,0,1,0,2,3,720000,720000,broadcast_more(+1);partitioned_less(-1);shuffle_less(-3);agg_count_less(-3)
tpc-ds,q91,0.84,6,6,6,6,0,0,6,6,5,4,7,7,4,2,1,1,6,0,2,7,1920800,124614,rf_probe_less(-1);agg_count_less(-2)
tpc-ds,q1,0.51,4,4,3,3,1,1,4,3,5,1,4,4,8,4,6,4,3,0,2,4,232886,277502,shuffle_less(-2);rf_probe_less(-4);rf_build_less(-1);agg_count_less(-4)
tpc-ds,q84,0.51,5,5,3,5,1,0,5,5,8,5,6,6,0,0,3,0,3,0,2,6,1728720,1728720,broadcast_more(+2);partitioned_less(-1);shuffle_less(-3);rf_probe_less(-3)
tpc-h,q22,0.46,2,2,0,0,1,1,1,0,1,0,3,3,8,4,3,3,1,0,3,3,1500000,1500000,rf_probe_less(-1);rf_build_less(-1);agg_count_less(-4)
tpc-h,q15,0.45,2,2,1,2,0,0,2,2,3,1,3,3,12,6,3,2,1,0,3,4,71367,1609580,broadcast_more(+1);shuffle_less(-1);rf_probe_less(-2);agg_count_less(-6)
tpc-h,q6,0.45,0,0,0,0,0,0,0,0,0,0,2,1,4,2,0,0,0,0,1,1,1,904713,agg_count_less(-2)
tpc-h,q14,0.33,1,1,0,1,1,0,1,1,1,1,2,2,4,2,2,0,0,0,1,2,180000,1068308,broadcast_more(+1);partitioned_less(-1);shuffle_less(-2);agg_count_less(-2)
tpc-ds,q41,0.14,1,1,1,1,0,0,2,0,1,0,2,2,6,3,2,1,1,0,2,2,4500,11602,shuffle_less(-1);rf_probe_less(-1);rf_build_less(-2);agg_count_less(-3)
