suite,case,elapsed_sec,joins_sr,joins_nr,broadcast_join_sr,broadcast_join_nr,partitioned_join_sr,partitioned_join_nr,shuffle_exchange_sr,shuffle_exchange_nr,broadcast_exchange_sr,broadcast_exchange_nr,runtime_filter_build_sr,runtime_filter_build_nr,runtime_filter_probe_sr,runtime_filter_probe_nr,scan_sr,scan_nr,agg_sr,agg_nr,sort_topn_sr,sort_topn_nr,max_card_rows_sr,max_card_rows_nr,gap_tags
tpc-ds,q97,5.22,3,3,2,2,1,1,3,4,2,0,2,2,2,2,4,4,6,6,0,0,0,2750311,
tpc-ds,q34,5.20,4,4,4,4,0,0,1,1,4,0,4,4,4,4,5,5,2,2,1,1,0,2507765,
tpc-ds,q50,5.19,4,4,4,4,0,0,1,1,4,3,6,6,6,6,5,5,2,2,2,1,0,2031359,
tpc-ds,q87,5.11,6,6,3,6,3,0,12,3,3,0,6,6,6,6,9,9,8,8,0,0,0,2626419,BroadcastJoin更多(+3);PartitionedJoin更少(-3);ShuffleExchange更少(-9)
tpc-ds,q26,4.96,4,4,3,4,1,0,3,1,3,0,4,4,5,4,5,5,2,2,2,1,0,1278082,BroadcastJoin更多(+1);PartitionedJoin更少(-1);ShuffleExchange更少(-2);RFProbe更少(-1)
tpc-ds,q79,4.94,4,4,4,4,0,0,1,1,4,0,4,4,5,4,5,5,2,2,1,1,0,2394799,RFProbe更少(-1)
tpc-h,q8,4.88,7,7,7,5,0,3,2,5,7,3,7,7,10,5,8,8,2,2,1,1,0,4374886,RFProbe更少(-5)
ssb,q4.2,4.84,4,4,4,4,0,0,2,1,4,0,4,4,4,4,5,5,2,2,1,1,0,3937368,ShuffleExchange更少(-1)
tpc-ds,q69,4.83,8,8,4,8,4,0,7,1,4,0,6,6,6,5,9,9,2,2,2,1,0,2626419,BroadcastJoin更多(+4);PartitionedJoin更少(-4);ShuffleExchange更少(-6);RFProbe更少(-1)
tpc-ds,q67,4.79,3,3,3,3,0,0,6,2,3,0,3,3,3,3,4,4,4,2,3,2,0,19020155,ShuffleExchange更少(-4);Agg节点更少(-2)
tpc-ds,q93,4.58,2,2,2,2,0,0,1,1,2,0,3,1,3,0,3,3,2,2,1,1,0,2880404,RFProbe更少(-3);RFBuild更少(-2)
ssb,q4.3,4.48,4,4,4,4,0,0,2,1,4,0,4,4,4,4,5,5,2,2,1,1,0,3937368,ShuffleExchange更少(-1)
ssb,q3.2,4.43,3,3,3,3,0,0,2,1,3,0,3,3,3,3,4,4,2,2,1,1,0,4374854,ShuffleExchange更少(-1)
tpc-ds,q85,4.39,7,7,5,7,2,0,5,1,5,6,10,10,16,10,8,8,2,2,1,1,0,360068,BroadcastJoin更多(+2);PartitionedJoin更少(-2);ShuffleExchange更少(-4);RFProbe更少(-6)
tpc-ds,q31,4.34,9,9,4,9,5,0,16,2,4,2,9,9,23,4,6,6,4,4,1,1,0,2626206,BroadcastJoin更多(+5);PartitionedJoin更少(-5);ShuffleExchange更少(-14);RFProbe更少(-19)
tpc-ds,q19,4.31,5,5,5,5,0,0,1,1,5,1,5,5,6,4,6,6,2,2,1,1,0,2257066,RFProbe更少(-2)
ssb,q2.1,4.30,3,3,3,3,0,0,2,1,3,0,3,3,3,3,4,4,2,2,1,1,0,4374854,ShuffleExchange更少(-1)
ssb,q3.3,4.28,3,3,3,3,0,0,2,1,3,0,3,3,3,3,4,4,2,2,1,1,0,4374854,ShuffleExchange更少(-1)
tpc-ds,q74,4.21,7,7,3,7,4,0,14,2,3,2,7,7,17,4,6,6,4,4,1,1,0,2626419,BroadcastJoin更多(+4);PartitionedJoin更少(-4);ShuffleExchange更少(-12);RFProbe更少(-13)
ssb,q3.1,4.12,3,3,3,3,0,0,2,1,3,0,3,3,3,3,4,4,2,2,1,1,0,4374854,ShuffleExchange更少(-1)
tpc-ds,q73,4.10,4,4,4,4,0,0,1,1,4,0,4,4,4,4,5,5,2,2,1,1,0,2507765,
tpc-ds,q32,4.07,4,4,2,3,2,1,3,2,2,1,4,3,7,3,5,5,4,4,0,0,0,1434368,BroadcastJoin更多(+1);PartitionedJoin更少(-1);ShuffleExchange更少(-1);RFProbe更少(-4);RFBuild更少(-1)
tpc-ds,q95,3.92,7,7,3,3,4,4,9,11,3,1,7,6,9,3,7,7,4,4,1,1,0,5198549,RFProbe更少(-6);RFBuild更少(-1)
tpc-h,q1,3.88,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,2,2,1,1,0,5941203,ShuffleExchange更少(-1)
tpc-h,q10,3.88,3,3,2,1,1,3,3,5,2,0,3,1,3,1,4,4,2,2,1,1,0,1350273,RFProbe更少(-2);RFBuild更少(-2)
tpc-ds,q99,3.85,4,4,4,4,0,0,1,1,4,0,4,4,4,4,5,5,2,2,2,1,0,1413219,
ssb,q3.4,3.83,3,3,3,3,0,0,2,1,3,0,3,3,3,3,4,4,2,2,1,1,0,4374854,ShuffleExchange更少(-1)
tpc-ds,q6,3.71,6,6,6,6,0,0,4,2,6,0,6,5,8,4,7,7,6,5,1,1,0,2363777,ShuffleExchange更少(-2);RFProbe更少(-4);RFBuild更少(-1);Agg节点更少(-1)
tpc-ds,q36,3.70,3,3,3,3,0,0,2,1,3,0,3,3,3,3,4,4,2,2,2,2,0,2363535,ShuffleExchange更少(-1)
tpc-ds,q40,3.65,4,4,4,4,0,0,1,1,4,0,3,3,5,0,5,5,2,2,2,1,0,1284532,RFProbe更少(-5)
tpc-ds,q15,3.55,3,3,1,3,2,0,5,1,1,0,3,3,3,2,4,4,2,2,2,1,0,1427374,BroadcastJoin更多(+2);PartitionedJoin更少(-2);ShuffleExchange更少(-4);RFProbe更少(-1)
tpc-ds,q81,3.28,5,5,2,3,3,2,10,4,2,0,5,3,7,1,5,5,4,4,1,1,0,120823694,BroadcastJoin更多(+1);PartitionedJoin更少(-1);ShuffleExchange更少(-6);RFProbe更少(-6);RFBuild更少(-2)
tpc-h,q7,3.17,5,5,4,4,1,3,4,3,4,0,5,5,9,2,6,6,2,2,1,1,0,1992241,ShuffleExchange更少(-1);RFProbe更少(-7)
tpc-ds,q39.s1,3.13,4,4,3,4,1,0,6,0,3,1,5,5,5,3,4,4,2,1,1,1,0,8562105,BroadcastJoin更多(+1);PartitionedJoin更少(-1);ShuffleExchange更少(-6);RFProbe更少(-2);Agg节点更少(-1)
tpc-ds,q39.s2,3.13,4,4,3,4,1,0,6,0,3,1,5,5,5,3,4,4,2,1,1,1,0,8562105,BroadcastJoin更多(+1);PartitionedJoin更少(-1);ShuffleExchange更少(-6);RFProbe更少(-2);Agg节点更少(-1)
tpc-h,q5,3.11,5,5,5,5,0,0,2,1,5,1,6,6,11,4,6,6,2,2,1,1,0,4860984,ShuffleExchange更少(-1);RFProbe更少(-7)
ssb,q1.3,3.08,1,1,1,1,0,0,0,0,1,0,1,1,1,1,2,2,2,2,0,0,0,944791,
ssb,q2.3,2.97,3,3,3,3,0,0,2,1,3,0,3,3,3,3,4,4,2,2,1,1,0,4374854,ShuffleExchange更少(-1)
tpc-ds,q43,2.92,2,2,2,2,0,0,1,1,2,0,2,2,2,2,3,3,2,2,1,1,0,2626150,
tpc-h,q3,2.92,2,2,1,1,1,1,2,3,1,1,2,2,2,1,3,3,1,2,1,1,0,2911243,RFProbe更少(-1)
tpc-ds,q59,2.87,7,6,6,6,1,0,4,1,6,2,8,6,13,5,8,6,4,2,1,1,0,2750311,PartitionedJoin更少(-1);ShuffleExchange更少(-3);RFProbe更少(-8);RFBuild更少(-2);Agg节点更少(-2)
tpc-ds,q3,2.85,2,2,2,2,0,0,1,1,2,0,2,2,2,2,3,3,2,2,1,1,0,2475280,
ssb,q2.2,2.83,3,3,3,3,0,0,2,1,3,0,3,3,3,3,4,4,2,2,1,1,0,4374854,ShuffleExchange更少(-1)
tpc-ds,q96,2.81,3,3,3,3,0,0,0,0,3,0,3,3,3,3,4,4,2,2,1,1,0,2508180,
tpc-ds,q42,2.75,2,2,2,2,0,0,1,1,2,0,2,2,2,2,3,3,2,2,1,1,0,2475280,
ssb,q1.2,2.67,1,1,1,1,0,0,0,0,1,0,1,1,1,1,2,2,2,2,0,0,0,964474,
tpc-ds,q94,2.67,5,5,4,4,1,2,4,3,4,0,4,4,7,3,6,6,4,4,1,1,0,718843,ShuffleExchange更少(-1);RFProbe更少(-4)
tpc-ds,q2,2.49,4,4,3,3,1,1,6,3,3,0,4,3,9,1,5,5,2,2,1,1,0,2160932,ShuffleExchange更少(-3);RFProbe更少(-8);RFBuild更少(-1)
ssb,q1.1,2.41,1,1,1,1,0,0,0,0,1,0,1,1,1,1,2,2,2,2,0,0,0,1047584,
tpc-ds,q52,2.39,2,2,2,2,0,0,1,1,2,0,2,2,2,2,3,3,2,2,1,1,0,2475280,
tpc-ds,q55,2.36,2,2,2,2,0,0,1,1,2,0,2,2,2,2,3,3,2,2,1,1,0,2475280,
tpc-ds,q90,2.36,6,7,6,6,0,0,0,0,7,0,6,6,6,6,8,8,4,4,1,1,0,718844,
tpc-ds,q45,2.21,5,7,4,4,1,4,7,2,5,0,4,3,6,3,6,8,6,2,2,1,0,647125,ShuffleExchange更少(-5);RFProbe更少(-3);RFBuild更少(-1);Agg节点更少(-4)
tpc-ds,q82,2.19,3,3,1,3,2,0,4,1,1,2,3,3,4,3,4,4,2,2,2,1,0,4294381,BroadcastJoin更多(+2);PartitionedJoin更少(-2);ShuffleExchange更少(-3);RFProbe更少(-1)
tpc-h,q11,2.13,4,5,4,4,0,0,2,1,5,0,4,4,4,2,6,6,4,4,1,1,0,720000,ShuffleExchange更少(-1);RFProbe更少(-2)
tpc-h,q4,2.10,1,1,0,0,1,1,4,3,0,0,1,0,1,0,2,2,2,2,1,1,0,2700547,ShuffleExchange更少(-1);RFProbe更少(-1);RFBuild更少(-1)
tpc-ds,q92,2.04,4,4,2,3,2,1,3,2,2,1,4,3,7,3,5,5,4,4,1,1,0,719195,BroadcastJoin更多(+1);PartitionedJoin更少(-1);ShuffleExchange更少(-1);RFProbe更少(-4);RFBuild更少(-1)
