suite,case,step,rank_in_query,node_id,operator,act_rows,act_time,act_time_sec,peak,indent,result_path
tpc-ds,q10,1,4,15,SCAN tpcds.web_sales,719195,23.3ms,0.0233,0B,12,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q10.result
tpc-ds,q10,1,5,30,"HASH JOIN (BROADCAST, LEFT SEMI, eq: [c.c_customer_sk = x.customer_sk])",246014,16.8ms,0.0168,7.5MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q10.result
tpc-ds,q11,1,1,8,"HASH AGGREGATE (LOCAL, group by: [customer_id, customer_first_name, customer_last_name, customer_preferred_cust_flag, customer_birth_country, customer_login, customer_email_address, dyear])",2914236,495.0ms,0.495,95.4MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q11.result
tpc-ds,q11,1,2,7,"HASH JOIN (BROADCAST, INNER, eq: [ss_sold_date_sk = d_date_sk])",2904600,342.0ms,0.342,43.9MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q11.result
tpc-ds,q11,1,3,19,"HASH AGGREGATE (LOCAL, group by: [customer_id, customer_first_name, customer_last_name, customer_preferred_cust_flag, customer_birth_country, customer_login, customer_email_address, dyear])",780282,236.1ms,0.2361,28.7MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q11.result
tpc-ds,q11,1,4,4,"HASH JOIN (BROADCAST, INNER, eq: [ss_customer_sk = c_customer_sk])",2985453,206.1ms,0.2061,89.2MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q11.result
tpc-ds,q11,1,5,18,"HASH JOIN (BROADCAST, INNER, eq: [ws_sold_date_sk = d_date_sk])",938266,133.6ms,0.1336,43.4MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q11.result
tpc-ds,q12,1,1,4,"HASH JOIN (BROADCAST, INNER, eq: [ws_item_sk = i_item_sk])",229641,128.3ms,0.1283,25.7MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q12.result
tpc-ds,q12,1,2,8,"HASH AGGREGATE (LOCAL, group by: [i_item_id, i_item_desc, i_category, i_class, i_current_price])",3421,1.3ms,0.0013,2.5MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q12.result
tpc-ds,q12,1,3,7,"HASH JOIN (BROADCAST, INNER, eq: [ws_sold_date_sk = d_date_sk])",2100,1.3ms,0.0013,2.4MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q12.result
tpc-ds,q12,1,4,1,SCAN tpcds.web_sales,719195,969.0us,0.000969,0B,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q12.result
tpc-ds,q12,1,5,10,"HASH AGGREGATE (GLOBAL, group by: [i_item_id, i_item_desc, i_category, i_class, i_current_price])",2821,952.8us,0.0009528,2.5MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q12.result
tpc-ds,q13,1,1,14,"PROJECT [ss_sold_date_sk, ss_cdemo_sk, ss_hdemo_sk, ss_addr_sk, ss_store_sk, ss_quantity, ss_sales_price, ss_ext_sales_price, ss_ext_wholesale_cost, ss_net_profit, hd_demo_sk, hd_dep_count, ca_address_sk, ca_state, ca_country, hd_dep_count = 1 AS __cse_0, ss_sales_price BETWEEN 100.00 AND 150.00 AS __cse_1, ss_sales_price BETWEEN 50.00 AND 100.00 AS __cse_2, ss_sales_price BETWEEN 150.00 AND 200.00 AS __cse_3]",8751,1.1s,1.1,50.4KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q13.result
tpc-ds,q13,1,2,15,"HASH JOIN (BROADCAST, INNER, eq: [cd_demo_sk = ss_cdemo_sk])",8796,64.4ms,0.0644,25.2MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q13.result
tpc-ds,q13,1,3,12,"HASH JOIN (BROADCAST, INNER, eq: [ss_addr_sk = ca_address_sk])",37756,63.0ms,0.063,17.9MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q13.result
tpc-ds,q13,1,4,8,"HASH JOIN (BROADCAST, INNER, eq: [ss_hdemo_sk = hd_demo_sk])",11052,22.6ms,0.0226,1.5MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q13.result
tpc-ds,q13,1,5,4,"PROJECT [cd_demo_sk, cd_marital_status, cd_education_status, cd_marital_status = 'M' AS __cse_0, cd_education_status = 'Advanced Degree' AS __cse_1, cd_marital_status = 'S' AS __cse_2, cd_education_status = 'College' AS __cse_3, cd_marital_status = 'W' AS __cse_4, cd_education_status = '2 yr Degree' AS __cse_5]",12058,9.2ms,0.0092,188.4KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q13.result
