suite,case,step,status,elapsed_sec,rows,log_path
tpc-ds,q82,1,PASS,2.19,78,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q83,1,PASS,1.78,366,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q84,1,PASS,0.51,102,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q85,1,PASS,4.39,159,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q86,1,PASS,1.10,69,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q87,1,PASS,5.11,163,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q88,1,PASS,22.14,548,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q89,1,PASS,12.53,88,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q9,1,PASS,20.82,302,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q90,1,PASS,2.36,141,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q91,1,PASS,0.84,128,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q92,1,PASS,2.04,102,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q93,1,PASS,4.58,59,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q94,1,PASS,2.67,120,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q95,1,PASS,3.92,183,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q96,1,PASS,2.81,71,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q97,1,PASS,5.22,98,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q98,1,PASS,14.05,68,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q99,1,PASS,3.85,96,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-h,q1,1,PASS,3.88,30,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q10,1,PASS,3.88,86,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q11,1,PASS,2.13,113,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q12,1,PASS,1.80,47,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q13,1,PASS,1.49,63,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q14,1,PASS,0.33,39,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q15,1,PASS,0.45,219,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q16,1,PASS,0.96,51,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q17,1,PASS,8.55,47,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q18,1,PASS,91.26,101,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q19,1,PASS,6.07,40,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q2,1,PASS,1.40,91,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q20,1,PASS,1.60,100,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q21,1,PASS,10.80,121,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q22,1,PASS,0.46,78,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q3,1,PASS,2.92,68,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q4,1,PASS,2.10,50,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q5,1,PASS,3.11,112,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q6,1,PASS,0.45,21,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q7,1,PASS,3.17,118,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q8,1,PASS,4.88,159,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
tpc-h,q9,1,PASS,24.40,114,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-h.log
